Is_Original,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
Watermarked,3.2,2.7,4.0,2.3,1.8
Original,3.2,2.7,4.0,2.3,1.8
