Generator,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
alpha,2.976,3.101,3.136,3.154,3.167,3.159,3.151,3.129,3.097,3.284
hunyuan,3.289,3.462,3.514,3.527,3.527,3.505,3.484,3.461,3.45,3.575
pika,2.858,2.99,3.043,3.052,3.055,3.035,3.013,2.984,2.948,3.216
ray2,3.279,3.451,3.464,3.453,3.442,3.433,3.413,3.399,3.376,3.522
sora,3.441,3.651,3.752,3.772,3.782,3.766,3.76,3.71,3.679,3.799
