Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
0.1,3.497,2.966,3.991,2.792,2.158
0.2,3.504,2.957,3.991,2.774,2.16
0.3,3.496,2.974,3.986,2.769,2.15
0.4,3.487,2.952,3.988,2.795,2.157
0.5,3.475,2.937,3.989,2.757,2.141
0.6,3.476,2.951,3.985,2.762,2.143
0.7,3.493,2.965,3.991,2.786,2.163
0.8,3.463,2.944,3.987,2.752,2.124
0.9,3.485,2.941,3.979,2.751,2.129
1.0,3.49,2.962,3.987,2.779,2.154
