Generator,visual_quality_slope,visual_quality_delta_0p1_to_1p0,temporal_consistency_slope,temporal_consistency_delta_0p1_to_1p0,dynamic_degree_slope,dynamic_degree_delta_0p1_to_1p0,text_to_video_alignment_slope,text_to_video_alignment_delta_0p1_to_1p0,factual_consistency_slope,factual_consistency_delta_0p1_to_1p0
alpha,0.003687,0.00681,0.021072,0.027797,-0.001927,0.003614,-0.002226,0.000456,0.006362,0.004949
hunyuan,0.013883,0.024443,0.019578,0.028918,0.000307,0.002418,0.001374,0.012171,0.00836,0.012209
pika,0.015613,0.026365,0.027044,0.041628,0.005641,0.014558,0.006223,0.01575,0.012244,0.019058
ray2,0.018614,0.030386,0.028916,0.039184,0.000887,0.005563,0.004837,0.013285,0.011518,0.019494
sora,0.013141,0.018224,0.023575,0.033122,0.000926,0.006769,0.004034,0.009635,0.012186,0.015462
