Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
0.1,3.733,3.751,3.995,3.909,3.855
0.2,3.734,3.752,3.993,3.907,3.857
0.3,3.734,3.754,3.993,3.907,3.859
0.4,3.734,3.755,3.992,3.906,3.859
0.5,3.734,3.757,3.992,3.906,3.86
0.6,3.733,3.756,3.991,3.905,3.859
0.7,3.736,3.758,3.99,3.904,3.86
0.8,3.736,3.758,3.99,3.904,3.86
0.9,3.735,3.761,3.991,3.904,3.861
1.0,3.755,3.785,4.001,3.92,3.869
