Generator,visual_quality_slope,visual_quality_delta_0p1_to_1p0,temporal_consistency_slope,temporal_consistency_delta_0p1_to_1p0,dynamic_degree_slope,dynamic_degree_delta_0p1_to_1p0,text_to_video_alignment_slope,text_to_video_alignment_delta_0p1_to_1p0,factual_consistency_slope,factual_consistency_delta_0p1_to_1p0
alpha,0.163239,0.30857,0.133645,0.270291,0.192193,0.346304,0.052478,0.124,0.185076,0.328791
hunyuan,0.125772,0.28619,0.108425,0.27607,0.106819,0.22538,0.032811,0.088411,0.148177,0.323589
pika,0.151072,0.357532,0.107869,0.289731,0.168455,0.363455,0.044829,0.160429,0.161843,0.3475
ray2,0.073285,0.243418,0.058277,0.226703,0.078244,0.211424,-0.006013,0.065576,0.090405,0.259816
sora,0.191708,0.358654,0.208325,0.40684,0.130617,0.245256,0.0623,0.120276,0.250157,0.457269
