Generator,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
alpha,3.754,3.752,3.748,3.746,3.751,3.751,3.747,3.752,3.749,3.761
hunyuan,3.731,3.733,3.729,3.73,3.734,3.729,3.734,3.733,3.73,3.755
pika,3.709,3.713,3.715,3.719,3.711,3.708,3.715,3.717,3.717,3.736
ray2,3.733,3.737,3.735,3.737,3.739,3.738,3.738,3.74,3.738,3.764
sora,3.74,3.736,3.741,3.74,3.737,3.738,3.744,3.739,3.742,3.758
