Is_Original,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
Watermarked,3.365,3.226,3.346,3.123,3.248
Original,2.841,2.765,2.81,2.816,2.713
