Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
0.1,3.169,3.039,3.17,3.039,3.026
0.2,3.331,3.198,3.31,3.119,3.205
0.3,3.382,3.247,3.356,3.143,3.262
0.4,3.392,3.256,3.367,3.144,3.276
0.5,3.395,3.256,3.373,3.144,3.281
0.6,3.38,3.24,3.361,3.135,3.266
0.7,3.364,3.224,3.348,3.127,3.251
0.8,3.337,3.193,3.325,3.108,3.223
0.9,3.31,3.166,3.303,3.097,3.198
1.0,3.479,3.332,3.448,3.151,3.369
