Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
0.1,3.2,2.7,4.0,2.3,1.8
0.2,3.2,2.7,4.0,2.3,1.8
0.3,3.2,2.7,4.0,2.3,1.8
0.4,3.2,2.7,4.0,2.3,1.8
0.5,3.2,2.7,4.0,2.3,1.8
0.6,3.2,2.7,4.0,2.3,1.8
0.7,3.2,2.7,4.0,2.3,1.8
0.8,3.2,2.7,4.0,2.3,1.8
0.9,3.2,2.7,4.0,2.3,1.8
1.0,3.2,2.7,4.0,2.3,1.8
